sl,date,artist,album,song,text
255,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Because the doggone girl is mine
256,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Paul:]
257,30/11/82,Michael Jackson,thriller,The Girl Is Mine,I don't understand the way you think
258,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Saying that she's yours not mine
259,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Sending roses and your silly dreams
260,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Really just a waste of time
261,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Because she's mine
262,30/11/82,Michael Jackson,thriller,The Girl Is Mine,The doggone girl is mine
263,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Don't waste your time
264,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Because the doggone girl is mine
265,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Paul:]
266,30/11/82,Michael Jackson,thriller,The Girl Is Mine,I love you more than he
267,30/11/82,Michael Jackson,thriller,The Girl Is Mine,take you anywhere
268,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Michael:]
269,30/11/82,Michael Jackson,thriller,The Girl Is Mine,But I love you endlessly
270,30/11/82,Michael Jackson,thriller,The Girl Is Mine,loving we will share
271,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Michael and Paul:]
272,30/11/82,Michael Jackson,thriller,The Girl Is Mine,So come and go with me
273,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Two on the town
274,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Michael:]
275,30/11/82,Michael Jackson,thriller,The Girl Is Mine,But we both cannot have her
276,30/11/82,Michael Jackson,thriller,The Girl Is Mine,So it's one or the other
277,30/11/82,Michael Jackson,thriller,The Girl Is Mine,And one day you'll discover
278,30/11/82,Michael Jackson,thriller,The Girl Is Mine,That she's my girl forever and ever
279,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Paul:]
280,30/11/82,Michael Jackson,thriller,The Girl Is Mine,I don't build your hopes to be let down
281,30/11/82,Michael Jackson,thriller,The Girl Is Mine,'Cause I really feel it's time
282,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Michael:]
283,30/11/82,Michael Jackson,thriller,The Girl Is Mine,I know she'll tell you I'm the one for her
284,30/11/82,Michael Jackson,thriller,The Girl Is Mine,'Cause she said I blow her mind
285,30/11/82,Michael Jackson,thriller,The Girl Is Mine,The girl is mine
286,30/11/82,Michael Jackson,thriller,The Girl Is Mine,The doggone girl is mine
287,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Don't waste your time
288,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Because the doggone girl is mine
289,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Michael and Paul:]
290,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"She's mine, she's mine"
291,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"No, no, no, she's mine"
292,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"The girl is mine, the girl is mine"
293,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"The girl is mine, the girl is mine"
294,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Paul:]
295,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"The girl is mine mine, mine yep she's mine mine, mine"
296,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"The girl is mine mine, mine yep she's mine mine, mine"
297,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Michael:]
298,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Don't waste your time
299,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Because the doggone girl is mine
300,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"The girl is mine, the girl is mine"
301,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Paul:]
302,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"Michael, we're not gonna fight about this, okay?"
303,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Michael:]
304,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"Paul, I think I told you, I'm a lover not a fighter"
305,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Paul:]
306,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"I've heard it all before, Michael"
307,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"She told me that I'm her forever lover, you know, don't you remember?"
308,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Michael:]
309,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"Well, after loving me, she said she couldn't love another"
310,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Paul]
311,30/11/82,Michael Jackson,thriller,The Girl Is Mine,Is that what she said?
312,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Michael:]
313,30/11/82,Michael Jackson,thriller,The Girl Is Mine,"Yes, she said it, you keep dreaming"
314,30/11/82,Michael Jackson,thriller,The Girl Is Mine,[Paul]
