sl,date,artist,album,song,word,sentiment
113,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',buffet,anger
113,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',buffet,negative
114,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',eat,positive
118,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',mouth,surprise
120,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',start,anticipation
120,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,joy
120,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,positive
130,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,fear
130,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,negative
130,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,sadness
134,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,fear
134,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,negative
134,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,sadness
136,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,anger
136,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,disgust
136,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,fear
136,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,negative
136,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hate,sadness
137,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',buffet,anger
137,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',buffet,negative
138,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',eat,positive
139,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,joy
139,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,positive
140,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,joy
140,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,positive
142,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,joy
142,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,positive
144,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',child,anticipation
144,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',child,joy
144,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',child,positive
154,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,fear
154,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,negative
154,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,sadness
158,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,fear
158,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,negative
158,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',pain,sadness
160,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',scream,anger
160,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',scream,disgust
160,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',scream,fear
160,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',scream,negative
160,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',scream,surprise
162,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',truth,positive
162,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',truth,trust
163,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hurt,anger
163,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hurt,fear
163,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hurt,negative
163,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',hurt,sadness
164,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',true,joy
164,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',true,positive
164,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',true,trust
167,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,anticipation
167,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,joy
167,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,positive
167,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,sadness
167,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,trust
171,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,anticipation
171,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,joy
171,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,positive
171,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,sadness
171,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,trust
172,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,anticipation
172,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,joy
172,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,positive
172,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,sadness
172,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,trust
173,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,anticipation
173,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,joy
173,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,positive
173,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,sadness
173,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,trust
174,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,anticipation
174,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,joy
174,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,positive
174,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,sadness
174,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,trust
179,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,anticipation
179,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,joy
179,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,positive
179,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,sadness
179,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,trust
181,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,anticipation
181,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,joy
181,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,positive
181,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,sadness
181,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,trust
186,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,anticipation
186,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,joy
186,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,positive
186,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,sadness
186,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,trust
186,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,joy
186,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',baby,positive
187,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,anticipation
187,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,joy
187,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,positive
187,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,sadness
187,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,trust
188,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,anticipation
188,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,joy
188,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,positive
188,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,sadness
188,30/11/82,Michael Jackson,thriller,Wanna Be Startin' Somethin',sing,trust
193,30/11/82,Michael Jackson,thriller,Baby Be Mine,show,trust
193,30/11/82,Michael Jackson,thriller,Baby Be Mine,perfect,anticipation
193,30/11/82,Michael Jackson,thriller,Baby Be Mine,perfect,joy
193,30/11/82,Michael Jackson,thriller,Baby Be Mine,perfect,positive
193,30/11/82,Michael Jackson,thriller,Baby Be Mine,perfect,trust
193,30/11/82,Michael Jackson,thriller,Baby Be Mine,love,joy
193,30/11/82,Michael Jackson,thriller,Baby Be Mine,love,positive
195,30/11/82,Michael Jackson,thriller,Baby Be Mine,baby,joy
