X.,song,word,sentiment
535,P.Y.T. (Pretty Young Thing),emergency,surprise
536,P.Y.T. (Pretty Young Thing),cool,positive
536,P.Y.T. (Pretty Young Thing),fire,fear
537,P.Y.T. (Pretty Young Thing),honey,positive
538,P.Y.T. (Pretty Young Thing),perfect,anticipation
538,P.Y.T. (Pretty Young Thing),perfect,joy
538,P.Y.T. (Pretty Young Thing),perfect,positive
538,P.Y.T. (Pretty Young Thing),perfect,trust
538,P.Y.T. (Pretty Young Thing),time,anticipation
541,P.Y.T. (Pretty Young Thing),hit,anger
541,P.Y.T. (Pretty Young Thing),hit,negative
543,P.Y.T. (Pretty Young Thing),love,joy
543,P.Y.T. (Pretty Young Thing),love,positive
544,P.Y.T. (Pretty Young Thing),pretty,anticipation
544,P.Y.T. (Pretty Young Thing),pretty,joy
544,P.Y.T. (Pretty Young Thing),pretty,positive
544,P.Y.T. (Pretty Young Thing),pretty,trust
