Date,Open,High,Low,Close,Adj Close,Volume
2016-07-19,86.339996,86.339996,85.889999,86.199997,86.199997,1872
2016-07-20,86.300003,86.889999,86.300003,86.889999,86.889999,463
2016-07-21,86.910004,86.910004,86.300003,86.300003,86.300003,289
2016-07-22,86.250000,86.250000,86.250000,86.250000,86.250000,35
2016-07-25,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-07-26,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-07-27,87.800003,87.800003,87.800003,87.800003,87.800003,54
2016-07-28,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-07-29,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-01,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-02,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-03,87.199997,87.199997,87.199997,87.199997,87.199997,5
2016-08-04,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-05,89.000000,89.000000,89.000000,89.000000,89.000000,4
2016-08-08,90.000000,90.000000,87.949997,87.949997,87.949997,820
2016-08-09,88.400002,88.400002,88.400002,88.400002,88.400002,1
2016-08-10,90.000000,90.000000,90.000000,90.000000,90.000000,2
2016-08-11,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-12,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-16,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-17,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-18,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-19,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-22,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-23,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-24,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-25,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-26,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-08-29,87.199997,87.199997,87.000000,87.000000,87.000000,63
2016-08-30,88.250000,88.250000,88.250000,88.250000,88.250000,100
2016-08-31,88.849998,88.849998,88.849998,88.849998,88.849998,100
2016-09-01,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-09-02,88.699997,88.750000,88.699997,88.750000,88.750000,1308
2016-09-06,90.349998,90.550003,90.349998,90.550003,90.550003,6
2016-09-07,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-09-08,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-09-09,90.650002,90.650002,90.650002,90.650002,90.650002,1
2016-09-12,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-09-14,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-09-15,88.349998,88.349998,88.349998,88.349998,88.349998,20
2016-09-16,89.199997,89.199997,89.199997,89.199997,89.199997,1
2016-09-19,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-09-20,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-09-21,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-09-22,90.000000,90.000000,90.000000,90.000000,90.000000,1400
2016-09-23,90.250000,90.250000,90.000000,90.000000,90.000000,1550
2016-09-26,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-09-27,88.000000,88.949997,88.000000,88.650002,88.650002,202
2016-09-28,86.379997,86.379997,86.379997,86.379997,86.379997,0
2016-09-29,88.000000,88.000000,86.699997,86.699997,86.699997,1002
2016-09-30,87.550003,87.550003,87.550003,87.550003,87.550003,50
2016-10-03,88.400002,88.400002,88.400002,88.400002,88.400002,5
2016-10-04,86.379997,86.379997,86.379997,86.379997,86.379997,0
